Nazwa dzielnicy;Nazwa szkoły;Miejscowośc;Ulica;liczba uczniów;wynik średni
Warszawa - Włochy;Szkoła Podstawowa Nr 227 im. Kapitana Lucyny Hertz w Warszawie;Warszawa;Astronautów 17;21;25,9
Warszawa - Włochy;Szkoła Podstawowa nr 66 im.ks. Juliana Chrościckiego w Warszawie;Warszawa;Przepiórki 16/18;50;26,1
Warszawa - Włochy;Szkoła Podstawowa nr 88 im. Gabriela Narutowicza;Warszawa;Radarowa 4b;59;27,6
Warszawa - Włochy;Szkoła Podstawowa Nr 94 im. I Marszałka Polski Józefa Piłsudskiego;Warszawa;Cietrzewia 22a;114;30,6
Warszawa - Włochy;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 87 im. 7 PP AK ,,Garłuch""";Warszawa;Malownicza 31;40;24,9
Warszawa - Wola;Katolicka Szkoła Podstawowa im. Ks. Piotra Skargi;Warszawa;Bema 73/75;21;31,8
Warszawa - Wola;Katolicka Szkoła Podstawowa nr 7 im. ks. kard. S. Wyszyńskiego;Warszawa;Ogrodowa 3a;27;31,5
Warszawa - Wola;Prywatna Szkoła Podstawowa nr 94 Lauder-Morasha;Warszawa;Wawelberga 10;18;29,9
Warszawa - Wola;Szkoła  Podstawowa nr 139 im.L.Wawrzyńskiej;Warszawa;Syreny 5/7;52;25,3
Warszawa - Wola;Szkoła Podstawowa  Nr 225 im.Józefa Gardeckiego;Warszawa;Jana Brożka 15;48;27,5
Warszawa - Wola;Szkoła Podstawowa Integracyjna nr 317;Warszawa;Deotymy;30;25,6
Warszawa - Wola;Szkoła Podstawowa nr 132 im. Sándora Petöfiego w Warszawie;Warszawa;Grabowska 1;54;23,8
Warszawa - Wola;Szkoła Podstawowa Nr 148;Warszawa;Ożarowska 69;35;22,3
Warszawa - Wola;Szkoła Podstawowa nr 166 im. Żwirki i Wigury w Warszawie;Warszawa;Żytnia 40;50;20,0
Warszawa - Wola;Szkoła Podstawowa Nr 221 z Oddziałami Integracyjnymi  w Warszawie;Warszawa;Ogrodowa 42/44;27;22,4
Warszawa - Wola;Szkoła Podstawowa nr 222 im. Jana Brzechwy;Warszawa;Esperanto 7a;45;30,4
Warszawa - Wola;Szkoła Podstawowa nr 234 im. Juliana Tuwima;Warszawa;Esperanto 5;38;22,9
Warszawa - Wola;Szkoła Podstawowa nr 238 im Christo Botewa;Warszawa;Redutowa 37;86;23,2
Warszawa - Wola;Szkoła Podstawowa nr 25 im. Komisji Edukacji Narodowej w Warszawie;Warszawa;Grzybowska 35;53;25,8
Warszawa - Wola;Szkoła Podstawowa nr 26 im. Mirosława Biernackiego w Warszawie;Warszawa;Miedziana 8;32;25,3
Warszawa - Wola;Szkoła Podstawowa nr 63 im. Zawiszy Czartnego;Warszawa;Płocka 30;43;22,8
Warszawa - Wola;Szkoła Podstawowa nr 86 Stowarzyszenia Kultury i Edukacji;Warszawa;Okopowa 55a;20;31,1
Warszawa - Wola;Szkoła Podstawowa z Oddziałami Integracyjnymi nr 236 im. chor. Józefa Paczkowskiego  w Warszawie;Warszawa;Elekcyjna 21/23;36;23,8
Warszawa - Wola;Waldorfska Szkoła Podstawowa nr 71;Warszawa;Staszica 11a;11;27,5
Warszawa - Wola;Zespół Państwowych Ogólnokształcących Szkół Muzycznych I i II st. Nr 3 im. Grażyny Bacewicz w Warszawie;Warszawa;Tyszkiewicza 42;33;29,3
Warszawa - Żoliborz;Ogólnokształcąca Szkoła Muzyczna I stopnia w Zespole Państwowych Szkół Muzycznych nr 4 im. Karola Szymanowskiego w Warszawie;Warszawa;Krasińskiego 1;34;30,7
Warszawa - Żoliborz;Szkoła  Podstawowa  nr  65   im. Władysława Orkana;Warszawa;Mścisławska 1;93;31,8
Warszawa - Żoliborz;Szkoła Podstawowa nr 267 im. Juliusza Słowackiego;Warszawa;Braci Załuskich 1;38;29,6
Warszawa - Żoliborz;Szkoła Podstawowa nr 92 im. Jana Brzechwy w Warszawie;Warszawa;Przasnyska 18a;63;28,6
Warszawa - Żoliborz;Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 68 im. Artura Oppmana;Warszawa;Or-Ota 5;58;25,9
